iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
19,"(25, 15)","(25, 16)",South,"['(25, 16)', '(25, 14)']","['(25, 15)', '(31, 12)', '(24, 16)']","['(24, 16)', '(31, 12)', '(25, 14)']","['(31, 14)', '(34, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(25, 16)', '(29, 16)', '(31, 16)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(25, 15)', '(26, 16)', '(34, 14)', '(28, 16)', '(30, 13)', '(30, 16)', '(32, 16)']",10,38,48
20,"(24, 16)","(25, 16)",West,"['(25, 16)', '(23, 16)']","['(24, 16)', '(31, 12)', '(25, 14)']","['(25, 14)', '(31, 12)', '(23, 16)']","['(31, 14)', '(34, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(25, 16)', '(29, 16)', '(31, 16)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(34, 14)', '(28, 16)', '(30, 13)', '(30, 16)', '(32, 16)']",10,38,48
21,"(25, 14)","(25, 15)",South,"['(25, 15)', '(26, 14)']","['(25, 14)', '(31, 12)', '(23, 16)']","['(23, 16)', '(31, 12)', '(26, 14)']","['(31, 14)', '(34, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(25, 16)', '(29, 16)', '(31, 16)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(34, 14)', '(28, 16)', '(30, 13)', '(30, 16)', '(32, 16)', '(25, 14)']",11,37,48
22,"(23, 16)","(24, 16)",West,"['(24, 16)', '(22, 16)']","['(23, 16)', '(31, 12)', '(26, 14)']","['(22, 16)', '(26, 14)', '(31, 12)']","['(31, 14)', '(23, 16)', '(34, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(25, 16)', '(29, 16)', '(31, 16)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(34, 14)', '(28, 16)', '(30, 13)', '(30, 16)', '(32, 16)', '(25, 14)']",11,37,48
23,"(22, 16)","(23, 16)",West,"['(23, 16)', '(21, 16)']","['(22, 16)', '(26, 14)', '(31, 12)']","['(21, 16)', '(26, 14)', '(31, 12)']","['(31, 14)', '(23, 16)', '(34, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(25, 16)', '(29, 16)', '(31, 16)', '(22, 16)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(34, 14)', '(28, 16)', '(30, 13)', '(30, 16)', '(32, 16)', '(25, 14)']",12,36,48
24,"(21, 16)","(22, 16)",West,"['(22, 16)', '(20, 16)']","['(21, 16)', '(26, 14)', '(31, 12)']","['(20, 16)', '(26, 14)', '(31, 12)']","['(21, 16)', '(31, 14)', '(23, 16)', '(34, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(25, 16)', '(29, 16)', '(31, 16)', '(22, 16)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(34, 14)', '(28, 16)', '(30, 13)', '(30, 16)', '(32, 16)', '(25, 14)']",13,35,48
25,"(20, 16)","(21, 16)",West,"['(21, 16)', '(19, 16)']","['(20, 16)', '(26, 14)', '(31, 12)']","['(19, 16)', '(26, 14)', '(31, 12)']","['(21, 16)', '(31, 14)', '(23, 16)', '(34, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(25, 16)', '(29, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(34, 14)', '(28, 16)', '(30, 13)', '(30, 16)', '(32, 16)', '(25, 14)']",14,34,48
26,"(19, 16)","(20, 16)",West,"['(20, 16)', '(18, 16)']","['(19, 16)', '(26, 14)', '(31, 12)']","['(18, 16)', '(26, 14)', '(31, 12)']","['(21, 16)', '(31, 14)', '(23, 16)', '(34, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(25, 16)', '(29, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(34, 14)', '(28, 16)', '(30, 13)', '(30, 16)', '(19, 16)', '(32, 16)', '(25, 14)']",15,33,48
27,"(18, 16)","(19, 16)",West,"['(19, 16)', '(17, 16)']","['(18, 16)', '(26, 14)', '(31, 12)']","['(17, 16)', '(26, 14)', '(31, 12)']","['(21, 16)', '(31, 14)', '(23, 16)', '(34, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(25, 16)', '(18, 16)', '(29, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(34, 14)', '(28, 16)', '(30, 13)', '(30, 16)', '(19, 16)', '(32, 16)', '(25, 14)']",16,32,48
28,"(17, 16)","(18, 16)",West,"['(18, 16)', '(16, 16)']","['(17, 16)', '(26, 14)', '(31, 12)']","['(16, 16)', '(26, 14)', '(31, 12)']","['(21, 16)', '(31, 14)', '(23, 16)', '(34, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(25, 16)', '(18, 16)', '(29, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(34, 14)', '(28, 16)', '(30, 13)', '(17, 16)', '(30, 16)', '(19, 16)', '(32, 16)', '(25, 14)']",17,31,48
29,"(16, 16)","(17, 16)",West,"['(17, 16)', '(15, 16)']","['(16, 16)', '(26, 14)', '(31, 12)']","['(15, 16)', '(26, 14)', '(31, 12)']","['(21, 16)', '(31, 14)', '(23, 16)', '(34, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(34, 14)', '(28, 16)', '(30, 13)', '(17, 16)', '(30, 16)', '(19, 16)', '(32, 16)', '(25, 14)']",18,30,48
30,"(15, 16)","(16, 16)",West,"['(16, 16)', '(14, 16)']","['(15, 16)', '(26, 14)', '(31, 12)']","['(14, 16)', '(26, 14)', '(31, 12)']","['(21, 16)', '(31, 14)', '(23, 16)', '(34, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(15, 16)', '(34, 14)', '(28, 16)', '(30, 13)', '(17, 16)', '(30, 16)', '(19, 16)', '(32, 16)', '(25, 14)']",19,29,48
31,"(14, 16)","(15, 16)",West,"['(15, 16)', '(13, 16)']","['(14, 16)', '(26, 14)', '(31, 12)']","['(13, 16)', '(26, 14)', '(31, 12)']","['(21, 16)', '(31, 14)', '(23, 16)', '(34, 16)', '(14, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(15, 16)', '(34, 14)', '(28, 16)', '(30, 13)', '(17, 16)', '(30, 16)', '(19, 16)', '(32, 16)', '(25, 14)']",20,28,48
32,"(13, 16)","(14, 16)",West,"['(14, 16)', '(12, 16)']","['(13, 16)', '(26, 14)', '(31, 12)']","['(12, 16)', '(26, 14)', '(31, 12)']","['(21, 16)', '(31, 14)', '(23, 16)', '(34, 16)', '(14, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(24, 16)', '(13, 16)', '(25, 15)', '(26, 16)', '(15, 16)', '(34, 14)', '(28, 16)', '(30, 13)', '(17, 16)', '(30, 16)', '(19, 16)', '(32, 16)', '(25, 14)']",21,27,48
33,"(12, 16)","(13, 16)",West,"['(13, 16)', '(11, 16)']","['(12, 16)', '(26, 14)', '(31, 12)']","['(11, 16)', '(26, 14)', '(31, 12)']","['(21, 16)', '(31, 14)', '(23, 16)', '(34, 16)', '(12, 16)', '(14, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(24, 16)', '(13, 16)', '(25, 15)', '(26, 16)', '(15, 16)', '(34, 14)', '(28, 16)', '(30, 13)', '(17, 16)', '(30, 16)', '(19, 16)', '(32, 16)', '(25, 14)']",22,26,48
34,"(11, 16)","(12, 16)",West,"['(12, 16)', '(10, 16)']","['(11, 16)', '(26, 14)', '(31, 12)']","['(10, 16)', '(26, 14)', '(31, 12)']","['(21, 16)', '(31, 14)', '(23, 16)', '(34, 16)', '(12, 16)', '(14, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(34, 15)', '(30, 14)', '(11, 16)', '(33, 16)', '(32, 14)', '(24, 16)', '(13, 16)', '(25, 15)', '(26, 16)', '(15, 16)', '(34, 14)', '(28, 16)', '(30, 13)', '(17, 16)', '(30, 16)', '(19, 16)', '(32, 16)', '(25, 14)']",23,25,48
35,"(10, 16)","(11, 16)",West,"['(11, 16)', '(9, 16)']","['(10, 16)', '(26, 14)', '(31, 12)']","['(9, 16)', '(26, 14)', '(31, 12)']","['(21, 16)', '(31, 14)', '(23, 16)', '(34, 16)', '(12, 16)', '(14, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(34, 15)', '(30, 14)', '(11, 16)', '(33, 16)', '(32, 14)', '(24, 16)', '(13, 16)', '(25, 15)', '(26, 16)', '(15, 16)', '(34, 14)', '(28, 16)', '(30, 13)', '(17, 16)', '(30, 16)', '(19, 16)', '(10, 16)', '(32, 16)', '(25, 14)']",24,24,48
36,"(9, 16)","(10, 16)",West,"['(10, 16)', '(8, 16)']","['(9, 16)', '(26, 14)', '(31, 12)']","['(8, 16)', '(26, 14)', '(31, 12)']","['(21, 16)', '(31, 14)', '(23, 16)', '(34, 16)', '(12, 16)', '(14, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(34, 15)', '(9, 16)', '(30, 14)', '(11, 16)', '(33, 16)', '(32, 14)', '(24, 16)', '(13, 16)', '(25, 15)', '(26, 16)', '(15, 16)', '(34, 14)', '(28, 16)', '(30, 13)', '(17, 16)', '(30, 16)', '(19, 16)', '(10, 16)', '(32, 16)', '(25, 14)']",25,23,48
37,"(8, 16)","(9, 16)",West,"['(9, 16)', '(7, 16)']","['(8, 16)', '(26, 14)', '(31, 12)']","['(7, 16)', '(26, 14)', '(31, 12)']","['(21, 16)', '(31, 14)', '(23, 16)', '(34, 16)', '(12, 16)', '(14, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(34, 15)', '(9, 16)', '(30, 14)', '(11, 16)', '(33, 16)', '(32, 14)', '(24, 16)', '(13, 16)', '(25, 15)', '(26, 16)', '(15, 16)', '(34, 14)', '(28, 16)', '(30, 13)', '(17, 16)', '(30, 16)', '(19, 16)', '(8, 16)', '(10, 16)', '(32, 16)', '(25, 14)']",26,22,48
38,"(7, 16)","(8, 16)",West,"['(8, 16)', '(6, 16)']","['(7, 16)', '(26, 14)', '(31, 12)']","['(6, 16)', '(26, 14)', '(31, 12)']","['(21, 16)', '(31, 14)', '(23, 16)', '(34, 16)', '(12, 16)', '(14, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(7, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(34, 15)', '(9, 16)', '(30, 14)', '(11, 16)', '(33, 16)', '(32, 14)', '(24, 16)', '(13, 16)', '(25, 15)', '(26, 16)', '(15, 16)', '(34, 14)', '(28, 16)', '(30, 13)', '(17, 16)', '(30, 16)', '(19, 16)', '(8, 16)', '(10, 16)', '(32, 16)', '(25, 14)']",27,21,48
39,"(6, 16)","(7, 16)",West,"['(7, 16)', '(5, 16)']","['(6, 16)', '(26, 14)', '(31, 12)']","['(5, 16)', '(26, 14)', '(31, 12)']","['(21, 16)', '(31, 14)', '(23, 16)', '(34, 16)', '(12, 16)', '(14, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(7, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(34, 15)', '(9, 16)', '(30, 14)', '(11, 16)', '(33, 16)', '(32, 14)', '(24, 16)', '(13, 16)', '(25, 15)', '(26, 16)', '(15, 16)', '(6, 16)', '(34, 14)', '(28, 16)', '(30, 13)', '(17, 16)', '(30, 16)', '(19, 16)', '(8, 16)', '(10, 16)', '(32, 16)', '(25, 14)']",28,20,48
40,"(5, 16)","(6, 16)",West,"['(6, 16)', '(4, 16)']","['(5, 16)', '(26, 14)', '(31, 12)']","['(4, 16)', '(26, 14)', '(31, 12)']","['(21, 16)', '(31, 14)', '(23, 16)', '(34, 16)', '(12, 16)', '(14, 16)', '(5, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(7, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(34, 15)', '(9, 16)', '(30, 14)', '(11, 16)', '(33, 16)', '(32, 14)', '(24, 16)', '(13, 16)', '(25, 15)', '(26, 16)', '(15, 16)', '(6, 16)', '(34, 14)', '(28, 16)', '(30, 13)', '(17, 16)', '(30, 16)', '(19, 16)', '(8, 16)', '(10, 16)', '(32, 16)', '(25, 14)']",29,19,48
41,"(4, 16)","(5, 16)",West,"['(5, 16)', '(3, 16)']","['(4, 16)', '(26, 14)', '(31, 12)']","['(3, 16)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (5, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (6, 16), (34, 14), (4, 16), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), ... (+1 more)]",30,18,48
42,"(3, 16)","(4, 16)",West,"['(4, 16)', '(2, 16)']","['(3, 16)', '(26, 14)', '(31, 12)']","['(2, 16)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (3, 16), (5, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (6, 16), (34, 14), (4, 16), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), ... (+2 more)]",31,17,48
43,"(2, 16)","(3, 16)",West,"['(3, 16)', '(1, 16)']","['(2, 16)', '(26, 14)', '(31, 12)']","['(1, 16)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (3, 16), (5, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (2, 16), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (6, 16), (34, 14), (4, 16), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (8, 16), ... (+3 more)]",32,16,48
44,"(1, 16)","(2, 16)",West,"['(1, 15)', '(2, 16)']","['(1, 16)', '(26, 14)', '(31, 12)']","['(1, 15)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (3, 16), (5, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (2, 16), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (6, 16), (34, 14), (4, 16), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (8, 16), ... (+4 more)]",33,15,48
45,"(1, 15)","(1, 16)",South,"['(1, 16)', '(1, 14)']","['(1, 15)', '(26, 14)', '(31, 12)']","['(1, 14)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (3, 16), (5, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (1, 15), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (2, 16), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (6, 16), (34, 14), (4, 16), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), ... (+5 more)]",34,14,48
46,"(1, 14)","(1, 15)",South,"['(1, 15)', '(1, 13)']","['(1, 14)', '(26, 14)', '(31, 12)']","['(1, 13)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (3, 16), (5, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (1, 15), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (2, 16), (24, 16), (13, 16), (25, 15), (1, 14), (26, 16), (15, 16), (6, 16), (34, 14), (4, 16), (28, 16), (30, 13), (17, 16), (30, 16), ... (+6 more)]",35,13,48
47,"(1, 13)","(1, 14)",South,"['(1, 14)', '(1, 12)']","['(1, 13)', '(26, 14)', '(31, 12)']","['(1, 12)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (3, 16), (5, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (1, 15), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (2, 16), (24, 16), (13, 16), (25, 15), (1, 14), (26, 16), (15, 16), (6, 16), (34, 14), (4, 16), (28, 16), (30, 13), (17, 16), (30, 16), ... (+7 more)]",36,12,48
48,"(1, 12)","(1, 13)",South,"['(1, 13)', '(1, 11)']","['(1, 12)', '(26, 14)', '(31, 12)']","['(1, 11)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (3, 16), (5, 16), (27, 16), (30, 12), (33, 14), (25, 16), (1, 12), (16, 16), (1, 15), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (2, 16), (24, 16), (13, 16), (25, 15), (1, 14), (26, 16), (15, 16), (6, 16), (34, 14), (4, 16), (28, 16), (30, 13), (17, 16), ... (+8 more)]",37,11,48
49,"(1, 11)","(1, 12)",South,"['(1, 12)', '(1, 10)']","['(1, 11)', '(26, 14)', '(31, 12)']","['(1, 10)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (3, 16), (5, 16), (27, 16), (30, 12), (33, 14), (25, 16), (1, 12), (16, 16), (1, 15), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (1, 11), (2, 16), (24, 16), (13, 16), (25, 15), (1, 14), (26, 16), (15, 16), (6, 16), (34, 14), (4, 16), (28, 16), (30, 13), ... (+9 more)]",38,10,48
50,"(1, 10)","(1, 11)",South,"['(1, 11)', '(1, 9)']","['(1, 10)', '(26, 14)', '(31, 12)']","['(1, 9)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (3, 16), (5, 16), (27, 16), (30, 12), (33, 14), (25, 16), (1, 12), (16, 16), (1, 15), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (1, 11), (2, 16), (24, 16), (13, 16), (25, 15), (1, 14), (26, 16), (15, 16), (6, 16), (34, 14), (4, 16), (28, 16), (30, 13), ... (+10 more)]",39,9,48
51,"(1, 9)","(1, 10)",South,"['(1, 10)', '(1, 8)']","['(1, 9)', '(26, 14)', '(31, 12)']","['(1, 8)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (3, 16), (5, 16), (27, 16), (30, 12), (33, 14), (1, 9), (25, 16), (1, 12), (16, 16), (1, 15), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (1, 11), (2, 16), (24, 16), (13, 16), (25, 15), (1, 14), (26, 16), (15, 16), (6, 16), (34, 14), (4, 16), (28, 16), ... (+11 more)]",40,8,48
