iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
14,"(21, 16)","(22, 16)",West,"['(22, 16)', '(20, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(28, 16)', '(27, 16)', '(25, 15)', '(26, 16)', '(25, 16)', '(24, 16)', '(23, 16)', '(21, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(28, 16)', '(27, 16)', '(25, 15)', '(26, 16)', '(25, 16)', '(24, 16)', '(23, 16)', '(22, 16)', '(20, 16)']","['(25, 16)', '(21, 16)', '(33, 16)', '(28, 16)', '(23, 16)', '(34, 16)', '(29, 16)', '(24, 16)', '(30, 16)', '(31, 16)', '(26, 16)', '(32, 16)', '(27, 16)', '(22, 16)']",13,0,13
15,"(20, 16)","(21, 16)",West,"['(21, 16)', '(19, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(28, 16)', '(27, 16)', '(25, 15)', '(26, 16)', '(25, 16)', '(24, 16)', '(23, 16)', '(22, 16)', '(20, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(28, 16)', '(27, 16)', '(25, 15)', '(26, 16)', '(25, 16)', '(24, 16)', '(23, 16)', '(22, 16)', '(21, 16)', '(19, 16)']","['(25, 16)', '(21, 16)', '(33, 16)', '(28, 16)', '(23, 16)', '(34, 16)', '(29, 16)', '(24, 16)', '(30, 16)', '(31, 16)', '(26, 16)', '(20, 16)', '(32, 16)', '(27, 16)', '(22, 16)']",14,0,14
16,"(19, 16)","(20, 16)",West,"['(20, 16)', '(18, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(28, 16)', '(27, 16)', '(25, 15)', '(26, 16)', '(25, 16)', '(24, 16)', '(23, 16)', '(22, 16)', '(21, 16)', '(19, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(28, 16)', '(27, 16)', '(25, 15)', '(26, 16)', '(25, 16)', '(24, 16)', '(23, 16)', '(22, 16)', '(21, 16)', '(20, 16)', '(18, 16)']","['(25, 16)', '(21, 16)', '(33, 16)', '(28, 16)', '(23, 16)', '(34, 16)', '(29, 16)', '(24, 16)', '(30, 16)', '(19, 16)', '(31, 16)', '(26, 16)', '(20, 16)', '(32, 16)', '(27, 16)', '(22, 16)']",15,0,15
17,"(18, 16)","(19, 16)",West,"['(19, 16)', '(17, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(28, 16)', '(27, 16)', '(25, 15)', '(26, 16)', '(25, 16)', '(24, 16)', '(23, 16)', '(22, 16)', '(21, 16)', '(20, 16)', '(18, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(28, 16)', '(27, 16)', '(25, 15)', '(26, 16)', '(25, 16)', '(24, 16)', '(23, 16)', '(22, 16)', '(21, 16)', '(20, 16)', '(19, 16)', '(17, 16)']","['(25, 16)', '(21, 16)', '(33, 16)', '(28, 16)', '(23, 16)', '(34, 16)', '(29, 16)', '(24, 16)', '(30, 16)', '(19, 16)', '(18, 16)', '(31, 16)', '(26, 16)', '(20, 16)', '(32, 16)', '(27, 16)', '(22, 16)']",16,0,16
18,"(17, 16)","(18, 16)",West,"['(18, 16)', '(16, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(28, 16)', '(27, 16)', '(25, 15)', '(26, 16)', '(25, 16)', '(24, 16)', '(23, 16)', '(22, 16)', '(21, 16)', '(20, 16)', '(19, 16)', '(17, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(28, 16)', '(27, 16)', '(25, 15)', '(26, 16)', '(25, 16)', '(24, 16)', '(23, 16)', '(22, 16)', '(21, 16)', '(20, 16)', '(19, 16)', '(18, 16)', '(16, 16)']","['(25, 16)', '(21, 16)', '(33, 16)', '(28, 16)', '(23, 16)', '(34, 16)', '(29, 16)', '(24, 16)', '(30, 16)', '(19, 16)', '(18, 16)', '(31, 16)', '(26, 16)', '(20, 16)', '(32, 16)', '(27, 16)', '(22, 16)', '(17, 16)']",17,0,17
19,"(16, 16)","(17, 16)",West,"['(17, 16)', '(15, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(28, 16)', '(27, 16)', '(25, 15)', '(26, 16)', '(25, 16)', '(24, 16)', '(23, 16)', '(22, 16)', '(21, 16)', '(20, 16)', '(19, 16)', '(18, 16)', '(16, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(28, 16)', '(27, 16)', '(25, 15)', '(26, 16)', '(25, 16)', '(24, 16)', '(23, 16)', '(22, 16)', '(21, 16)', '(20, 16)', '(19, 16)', '(18, 16)', '(17, 16)', '(15, 16)']","['(21, 16)', '(23, 16)', '(34, 16)', '(27, 16)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(33, 16)', '(24, 16)', '(26, 16)', '(28, 16)', '(17, 16)', '(30, 16)', '(19, 16)', '(32, 16)']",18,0,18
20,"(15, 16)","(16, 16)",West,"['(16, 16)', '(14, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(28, 16)', '(27, 16)', '(25, 15)', '(26, 16)', '(25, 16)', '(24, 16)', '(23, 16)', '(22, 16)', '(21, 16)', '(20, 16)', '(19, 16)', '(18, 16)', '(17, 16)', '(15, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(28, 16)', '(27, 16)', '(25, 15)', '(26, 16)', '(25, 16)', '(24, 16)', '(23, 16)', '(22, 16)', '(21, 16)', '(20, 16)', '(19, 16)', '(18, 16)', '(17, 16)', '(16, 16)', '(14, 16)']","['(21, 16)', '(23, 16)', '(34, 16)', '(27, 16)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(33, 16)', '(24, 16)', '(26, 16)', '(15, 16)', '(28, 16)', '(17, 16)', '(30, 16)', '(19, 16)', '(32, 16)']",19,0,19
21,"(14, 16)","(15, 16)",West,"['(15, 16)', '(13, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(28, 16)', '(27, 16)', '(25, 15)', '(26, 16)', '(25, 16)', '(24, 16)', '(23, 16)', '(22, 16)', '(21, 16)', '(20, 16)', '(19, 16)', '(18, 16)', '(17, 16)', '(16, 16)', '(14, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(28, 16)', '(27, 16)', '(25, 15)', '(26, 16)', '(25, 16)', '(24, 16)', '(23, 16)', '(22, 16)', '(21, 16)', '(20, 16)', '(19, 16)', '(18, 16)', '(17, 16)', '(16, 16)', '(15, 16)', '(13, 16)']","['(21, 16)', '(23, 16)', '(34, 16)', '(14, 16)', '(27, 16)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(33, 16)', '(24, 16)', '(26, 16)', '(15, 16)', '(28, 16)', '(17, 16)', '(30, 16)', '(19, 16)', '(32, 16)']",20,0,20
22,"(13, 16)","(14, 16)",West,"['(14, 16)', '(12, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(28, 16)', '(27, 16)', '(25, 15)', '(26, 16)', '(25, 16)', '(24, 16)', '(23, 16)', '(22, 16)', '(21, 16)', '(20, 16)', '(19, 16)', '(18, 16)', '(17, 16)', '(16, 16)', '(15, 16)', '(13, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(28, 16)', '(27, 16)', '(25, 15)', '(26, 16)', '(25, 16)', '(24, 16)', '(23, 16)', '(22, 16)', '(21, 16)', '(20, 16)', '(19, 16)', '(18, 16)', '(17, 16)', '(16, 16)', '(15, 16)', '(14, 16)', '(12, 16)']","['(21, 16)', '(23, 16)', '(34, 16)', '(14, 16)', '(27, 16)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(33, 16)', '(24, 16)', '(13, 16)', '(26, 16)', '(15, 16)', '(28, 16)', '(17, 16)', '(30, 16)', '(19, 16)', '(32, 16)']",21,0,21
23,"(12, 16)","(13, 16)",West,"['(13, 16)', '(11, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(28, 16)', '(27, 16)', '(25, 15)', '(26, 16)', '(25, 16)', '(24, 16)', '(23, 16)', '(22, 16)', '(21, 16)', '(20, 16)', '(19, 16)', '(18, 16)', '(17, 16)', '(16, 16)', '(15, 16)', '(14, 16)', '(12, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(28, 16)', '(27, 16)', '(25, 15)', '(26, 16)', '(25, 16)', '(24, 16)', '(23, 16)', '(22, 16)', '(21, 16)', '(20, 16)', '(19, 16)', '(18, 16)', '(17, 16)', '(16, 16)', '(15, 16)', '(14, 16)', '(13, 16)', '(11, 16)']","['(21, 16)', '(23, 16)', '(34, 16)', '(12, 16)', '(14, 16)', '(27, 16)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(33, 16)', '(24, 16)', '(13, 16)', '(26, 16)', '(15, 16)', '(28, 16)', '(17, 16)', '(30, 16)', '(19, 16)', '(32, 16)']",22,0,22
