iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
11,"((6, 4), ())","((7, 4), ())",West,"['((7, 4), ())', '((5, 4), ())']","['((6, 4), ())', '((10, 4), ())']","['((5, 4), ())', '((10, 4), ())']","['((7, 2), ())', '((8, 2), ())', '((6, 2), ())', '((9, 4), ())', '((9, 3), ())', '((7, 4), ())', '((8, 4), ())', '((6, 4), ())', '((5, 2), ())', '((5, 1), ())', '((9, 2), ())']",10,57,67
12,"((5, 4), ())","((6, 4), ())",West,"['((5, 5), ())', '((6, 4), ())', '((4, 4), ())']","['((5, 4), ())', '((10, 4), ())']","['((4, 4), ())', '((5, 5), ())', '((10, 4), ())']","['((7, 2), ())', '((8, 2), ())', '((6, 2), ())', '((9, 4), ())', '((9, 3), ())', '((7, 4), ())', '((8, 4), ())', '((6, 4), ())', '((5, 2), ())', '((5, 1), ())', '((5, 4), ())', '((9, 2), ())']",11,56,67
13,"((4, 4), ())","((5, 4), ())",West,"['((5, 4), ())', '((3, 4), ())']","['((4, 4), ())', '((5, 5), ())', '((10, 4), ())']","['((3, 4), ())', '((5, 5), ())', '((10, 4), ())']","['((7, 2), ())', '((8, 2), ())', '((6, 2), ())', '((9, 4), ())', '((9, 3), ())', '((4, 4), ())', '((7, 4), ())', '((8, 4), ())', '((6, 4), ())', '((5, 2), ())', '((5, 1), ())', '((5, 4), ())', '((9, 2), ())']",12,55,67
14,"((3, 4), ())","((4, 4), ())",West,"['((3, 5), ())', '((3, 3), ())', '((4, 4), ())']","['((3, 4), ())', '((5, 5), ())', '((10, 4), ())']","['((3, 3), ())', '((10, 4), ())', '((3, 5), ())', '((5, 5), ())']","['((7, 2), ())', '((8, 2), ())', '((6, 2), ())', '((9, 4), ())', '((9, 3), ())', '((4, 4), ())', '((7, 4), ())', '((8, 4), ())', '((3, 4), ())', '((6, 4), ())', '((5, 2), ())', '((5, 1), ())', '((5, 4), ())', '((9, 2), ())']",13,54,67
15,"((3, 3), ())","((3, 4), ())",South,"['((3, 4), ())', '((3, 2), ())']","['((3, 3), ())', '((10, 4), ())', '((3, 5), ())', '((5, 5), ())']","['((3, 2), ())', '((10, 4), ())', '((3, 5), ())', '((5, 5), ())']","['((7, 2), ())', '((8, 2), ())', '((6, 2), ())', '((9, 4), ())', '((9, 3), ())', '((4, 4), ())', '((7, 4), ())', '((8, 4), ())', '((3, 4), ())', '((6, 4), ())', '((3, 3), ())', '((5, 2), ())', '((5, 1), ())', '((5, 4), ())', '((9, 2), ())']",14,53,67
16,"((3, 2), ())","((3, 3), ())",South,"['((3, 3), ())', '((3, 1), ())', '((2, 2), ())']","['((3, 2), ())', '((10, 4), ())', '((3, 5), ())', '((5, 5), ())']","['((3, 1), ())', '((2, 2), ())', '((3, 5), ())', '((5, 5), ())', '((10, 4), ())']","['((7, 2), ())', '((8, 2), ())', '((3, 2), ())', '((6, 2), ())', '((9, 4), ())', '((9, 3), ())', '((4, 4), ())', '((7, 4), ())', '((8, 4), ())', '((3, 4), ())', '((6, 4), ())', '((3, 3), ())', '((5, 2), ())', '((5, 1), ())', '((5, 4), ())', '((9, 2), ())']",15,52,67
17,"((3, 1), ())","((3, 2), ())",South,"['((3, 2), ())', '((2, 1), ())']","['((3, 1), ())', '((2, 2), ())', '((3, 5), ())', '((5, 5), ())', '((10, 4), ())']","['((2, 2), ())', '((2, 1), ())', '((3, 5), ())', '((5, 5), ())', '((10, 4), ())']","['((7, 2), ())', '((8, 2), ())', '((3, 2), ())', '((6, 2), ())', '((3, 1), ())', '((9, 4), ())', '((9, 3), ())', '((4, 4), ())', '((7, 4), ())', '((8, 4), ())', '((3, 4), ())', '((6, 4), ())', '((3, 3), ())', '((5, 2), ())', '((5, 1), ())', '((5, 4), ())', '((9, 2), ())']",16,51,67
18,"((2, 2), ())","((3, 2), ())",West,"['((2, 1), ())', '((3, 2), ())', '((1, 2), ())']","['((2, 2), ())', '((2, 1), ())', '((3, 5), ())', '((5, 5), ())', '((10, 4), ())']","['((2, 1), ())', '((1, 2), ())', '((3, 5), ())', '((5, 5), ())', '((10, 4), ())']","['((7, 2), ())', '((8, 2), ())', '((3, 2), ())', '((6, 2), ())', '((3, 1), ())', '((9, 4), ())', '((9, 3), ())', '((4, 4), ())', '((7, 4), ())', '((8, 4), ())', '((3, 4), ())', '((6, 4), ())', '((3, 3), ())', '((5, 2), ())', '((2, 2), ())', '((5, 1), ())', '((5, 4), ())', '((9, 2), ())']",16,51,67
19,"((2, 1), ())","((3, 1), ())",West,"['((2, 2), ())', '((3, 1), ())', '((1, 1), ((1, 1),))']","['((2, 1), ())', '((1, 2), ())', '((3, 5), ())', '((5, 5), ())', '((10, 4), ())']","['((1, 2), ())', '((1, 1), ((1, 1),))', '((3, 5), ())', '((5, 5), ())', '((10, 4), ())']","['((3, 1), ())', '((6, 2), ())', '((9, 4), ())', '((4, 4), ())', '((3, 3), ())', '((6, 4), ())', '((9, 2), ())', '((2, 2), ())', '((8, 2), ())', '((3, 2), ())', '((8, 4), ())', '((3, 4), ())', '((5, 4), ())', '((7, 2), ())', '((9, 3), ())', '((7, 4), ())', '((2, 1), ())', '((5, 2), ())', '((5, 1), ())']",17,50,67
20,"((1, 2), ())","((2, 2), ())",West,"['((1, 3), ())', '((1, 1), ((1, 1),))', '((2, 2), ())']","['((1, 2), ())', '((1, 1), ((1, 1),))', '((3, 5), ())', '((5, 5), ())', '((10, 4), ())']","['((1, 1), ((1, 1),))', '((10, 4), ())', '((3, 5), ())', '((5, 5), ())', '((1, 3), ())']","['((3, 1), ())', '((6, 2), ())', '((1, 2), ())', '((9, 4), ())', '((4, 4), ())', '((3, 3), ())', '((6, 4), ())', '((9, 2), ())', '((2, 2), ())', '((8, 2), ())', '((3, 2), ())', '((8, 4), ())', '((3, 4), ())', '((5, 4), ())', '((7, 2), ())', '((9, 3), ())', '((7, 4), ())', '((2, 1), ())', '((5, 2), ())', '((5, 1), ())']",17,50,67
