iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(5, 5)",START,START,"['(5, 4)', '(4, 5)']","['(5, 5)']","['(5, 4)', '(4, 5)']","['(5, 5)']",0,8,8
2,"(5, 4)","(5, 5)",South,"['(5, 5)', '(5, 3)']","['(5, 4)', '(4, 5)']","['(5, 3)', '(4, 5)']","['(5, 4)', '(5, 5)']",1,7,7
3,"(5, 3)","(5, 4)",South,"['(5, 4)', '(4, 3)']","['(5, 3)', '(4, 5)']","['(4, 3)', '(4, 5)']","['(5, 3)', '(5, 4)', '(5, 5)']",2,6,6
4,"(4, 3)","(5, 3)",West,"['(4, 2)', '(5, 3)']","['(4, 3)', '(4, 5)']","['(4, 2)', '(4, 5)']","['(5, 3)', '(5, 4)', '(5, 5)', '(4, 3)']",3,5,5
5,"(4, 2)","(4, 3)",South,"['(4, 3)', '(3, 2)']","['(4, 2)', '(4, 5)']","['(3, 2)', '(4, 5)']","['(5, 5)', '(4, 3)', '(5, 4)', '(4, 2)', '(5, 3)']",4,4,4
6,"(3, 2)","(4, 2)",West,"['(4, 2)', '(2, 2)']","['(3, 2)', '(4, 5)']","['(2, 2)', '(4, 5)']","['(5, 5)', '(4, 3)', '(5, 4)', '(4, 2)', '(5, 3)', '(3, 2)']",5,3,3
7,"(2, 2)","(3, 2)",West,"['(2, 3)', '(2, 1)', '(3, 2)']","['(2, 2)', '(4, 5)']","['(2, 1)', '(4, 5)', '(2, 3)']","['(5, 5)', '(4, 3)', '(5, 4)', '(4, 2)', '(2, 2)', '(5, 3)', '(3, 2)']",6,2,2
8,"(2, 1)","(2, 2)",South,"['(2, 2)', '(1, 1)']","['(2, 1)', '(4, 5)', '(2, 3)']","['(1, 1)', '(4, 5)', '(2, 3)']","['(5, 5)', '(2, 1)', '(4, 3)', '(5, 4)', '(4, 2)', '(2, 2)', '(5, 3)', '(3, 2)']",7,1,1
9,"(1, 1)","(2, 1)",West,[],"['(1, 1)', '(4, 5)', '(2, 3)']","['(2, 3)', '(4, 5)']","['(5, 5)', '(2, 1)', '(4, 3)', '(5, 4)', '(1, 1)', '(4, 2)', '(2, 2)', '(5, 3)', '(3, 2)']",8,0,0
