iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
12,"(23, 16)","(24, 16)",West,"['(24, 16)', '(22, 16)']","['(23, 16)', '(25, 15)', '(34, 15)']","['(22, 16)', '(25, 15)', '(34, 15)']","['(25, 16)', '(33, 16)', '(28, 16)', '(23, 16)', '(34, 16)', '(29, 16)', '(24, 16)', '(30, 16)', '(31, 16)', '(26, 16)', '(32, 16)', '(27, 16)']",17171480576,0,17171480576
13,"(22, 16)","(23, 16)",West,"['(23, 16)', '(21, 16)']","['(22, 16)', '(25, 15)', '(34, 15)']","['(21, 16)', '(25, 15)', '(34, 15)']","['(25, 16)', '(33, 16)', '(28, 16)', '(23, 16)', '(34, 16)', '(29, 16)', '(24, 16)', '(30, 16)', '(31, 16)', '(26, 16)', '(32, 16)', '(27, 16)', '(22, 16)']",17175674880,0,17175674880
14,"(21, 16)","(22, 16)",West,"['(22, 16)', '(20, 16)']","['(21, 16)', '(25, 15)', '(34, 15)']","['(20, 16)', '(25, 15)', '(34, 15)']","['(25, 16)', '(21, 16)', '(33, 16)', '(28, 16)', '(23, 16)', '(34, 16)', '(29, 16)', '(24, 16)', '(30, 16)', '(31, 16)', '(26, 16)', '(32, 16)', '(27, 16)', '(22, 16)']",17177772032,0,17177772032
15,"(20, 16)","(21, 16)",West,"['(21, 16)', '(19, 16)']","['(20, 16)', '(25, 15)', '(34, 15)']","['(19, 16)', '(25, 15)', '(34, 15)']","['(25, 16)', '(21, 16)', '(33, 16)', '(28, 16)', '(23, 16)', '(34, 16)', '(29, 16)', '(24, 16)', '(30, 16)', '(31, 16)', '(26, 16)', '(20, 16)', '(32, 16)', '(27, 16)', '(22, 16)']",17178820608,0,17178820608
16,"(19, 16)","(20, 16)",West,"['(20, 16)', '(18, 16)']","['(19, 16)', '(25, 15)', '(34, 15)']","['(18, 16)', '(25, 15)', '(34, 15)']","['(25, 16)', '(21, 16)', '(33, 16)', '(28, 16)', '(23, 16)', '(34, 16)', '(29, 16)', '(24, 16)', '(30, 16)', '(19, 16)', '(31, 16)', '(26, 16)', '(20, 16)', '(32, 16)', '(27, 16)', '(22, 16)']",17179344896,0,17179344896
17,"(18, 16)","(19, 16)",West,"['(19, 16)', '(17, 16)']","['(18, 16)', '(25, 15)', '(34, 15)']","['(17, 16)', '(25, 15)', '(34, 15)']","['(25, 16)', '(21, 16)', '(33, 16)', '(28, 16)', '(23, 16)', '(34, 16)', '(29, 16)', '(24, 16)', '(30, 16)', '(19, 16)', '(18, 16)', '(31, 16)', '(26, 16)', '(20, 16)', '(32, 16)', '(27, 16)', '(22, 16)']",17179607040,0,17179607040
18,"(17, 16)","(18, 16)",West,"['(18, 16)', '(16, 16)']","['(17, 16)', '(25, 15)', '(34, 15)']","['(16, 16)', '(25, 15)', '(34, 15)']","['(25, 16)', '(21, 16)', '(33, 16)', '(28, 16)', '(23, 16)', '(34, 16)', '(29, 16)', '(24, 16)', '(30, 16)', '(19, 16)', '(18, 16)', '(31, 16)', '(26, 16)', '(20, 16)', '(32, 16)', '(27, 16)', '(22, 16)', '(17, 16)']",17179738112,0,17179738112
19,"(16, 16)","(17, 16)",West,"['(17, 16)', '(15, 16)']","['(16, 16)', '(25, 15)', '(34, 15)']","['(15, 16)', '(25, 15)', '(34, 15)']","['(21, 16)', '(23, 16)', '(34, 16)', '(27, 16)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(33, 16)', '(24, 16)', '(26, 16)', '(28, 16)', '(17, 16)', '(30, 16)', '(19, 16)', '(32, 16)']",17179803648,0,17179803648
20,"(15, 16)","(16, 16)",West,"['(16, 16)', '(14, 16)']","['(15, 16)', '(25, 15)', '(34, 15)']","['(14, 16)', '(25, 15)', '(34, 15)']","['(21, 16)', '(23, 16)', '(34, 16)', '(27, 16)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(33, 16)', '(24, 16)', '(26, 16)', '(15, 16)', '(28, 16)', '(17, 16)', '(30, 16)', '(19, 16)', '(32, 16)']",17179836416,0,17179836416
21,"(14, 16)","(15, 16)",West,"['(15, 16)', '(13, 16)']","['(14, 16)', '(25, 15)', '(34, 15)']","['(13, 16)', '(25, 15)', '(34, 15)']","['(21, 16)', '(23, 16)', '(34, 16)', '(14, 16)', '(27, 16)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(33, 16)', '(24, 16)', '(26, 16)', '(15, 16)', '(28, 16)', '(17, 16)', '(30, 16)', '(19, 16)', '(32, 16)']",17179852800,0,17179852800
22,"(13, 16)","(14, 16)",West,"['(14, 16)', '(12, 16)']","['(13, 16)', '(25, 15)', '(34, 15)']","['(12, 16)', '(25, 15)', '(34, 15)']","['(21, 16)', '(23, 16)', '(34, 16)', '(14, 16)', '(27, 16)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(33, 16)', '(24, 16)', '(13, 16)', '(26, 16)', '(15, 16)', '(28, 16)', '(17, 16)', '(30, 16)', '(19, 16)', '(32, 16)']",17179860992,0,17179860992
23,"(12, 16)","(13, 16)",West,"['(13, 16)', '(11, 16)']","['(12, 16)', '(25, 15)', '(34, 15)']","['(11, 16)', '(25, 15)', '(34, 15)']","['(21, 16)', '(23, 16)', '(34, 16)', '(12, 16)', '(14, 16)', '(27, 16)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(33, 16)', '(24, 16)', '(13, 16)', '(26, 16)', '(15, 16)', '(28, 16)', '(17, 16)', '(30, 16)', '(19, 16)', '(32, 16)']",17179865088,0,17179865088
24,"(11, 16)","(12, 16)",West,"['(12, 16)', '(10, 16)']","['(11, 16)', '(25, 15)', '(34, 15)']","['(10, 16)', '(25, 15)', '(34, 15)']","['(21, 16)', '(23, 16)', '(34, 16)', '(12, 16)', '(14, 16)', '(27, 16)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(11, 16)', '(33, 16)', '(24, 16)', '(13, 16)', '(26, 16)', '(15, 16)', '(28, 16)', '(17, 16)', '(30, 16)', '(19, 16)', '(32, 16)']",17179867136,0,17179867136
25,"(10, 16)","(11, 16)",West,"['(11, 16)', '(9, 16)']","['(10, 16)', '(25, 15)', '(34, 15)']","['(9, 16)', '(25, 15)', '(34, 15)']","['(21, 16)', '(23, 16)', '(34, 16)', '(12, 16)', '(14, 16)', '(27, 16)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(11, 16)', '(33, 16)', '(24, 16)', '(13, 16)', '(26, 16)', '(15, 16)', '(28, 16)', '(17, 16)', '(30, 16)', '(19, 16)', '(10, 16)', '(32, 16)']",17179868160,0,17179868160
26,"(9, 16)","(10, 16)",West,"['(10, 16)', '(8, 16)']","['(9, 16)', '(25, 15)', '(34, 15)']","['(8, 16)', '(25, 15)', '(34, 15)']","['(21, 16)', '(23, 16)', '(34, 16)', '(12, 16)', '(14, 16)', '(27, 16)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(9, 16)', '(11, 16)', '(33, 16)', '(24, 16)', '(13, 16)', '(26, 16)', '(15, 16)', '(28, 16)', '(17, 16)', '(30, 16)', '(19, 16)', '(10, 16)', '(32, 16)']",17179868672,0,17179868672
27,"(8, 16)","(9, 16)",West,"['(9, 16)', '(7, 16)']","['(8, 16)', '(25, 15)', '(34, 15)']","['(7, 16)', '(25, 15)', '(34, 15)']","['(21, 16)', '(23, 16)', '(34, 16)', '(12, 16)', '(14, 16)', '(27, 16)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(9, 16)', '(11, 16)', '(33, 16)', '(24, 16)', '(13, 16)', '(26, 16)', '(15, 16)', '(28, 16)', '(17, 16)', '(30, 16)', '(19, 16)', '(8, 16)', '(10, 16)', '(32, 16)']",17179868928,0,17179868928
28,"(7, 16)","(8, 16)",West,"['(8, 16)', '(6, 16)']","['(7, 16)', '(25, 15)', '(34, 15)']","['(6, 16)', '(25, 15)', '(34, 15)']","['(21, 16)', '(23, 16)', '(34, 16)', '(12, 16)', '(14, 16)', '(27, 16)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(7, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(9, 16)', '(11, 16)', '(33, 16)', '(24, 16)', '(13, 16)', '(26, 16)', '(15, 16)', '(28, 16)', '(17, 16)', '(30, 16)', '(19, 16)', '(8, 16)', '(10, 16)', '(32, 16)']",17179869056,0,17179869056
29,"(6, 16)","(7, 16)",West,"['(7, 16)', '(5, 16)']","['(6, 16)', '(25, 15)', '(34, 15)']","['(5, 16)', '(25, 15)', '(34, 15)']","['(21, 16)', '(23, 16)', '(34, 16)', '(12, 16)', '(14, 16)', '(27, 16)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(7, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(9, 16)', '(11, 16)', '(33, 16)', '(24, 16)', '(13, 16)', '(26, 16)', '(15, 16)', '(6, 16)', '(28, 16)', '(17, 16)', '(30, 16)', '(19, 16)', '(8, 16)', '(10, 16)', '(32, 16)']",17179869120,0,17179869120
30,"(5, 16)","(6, 16)",West,"['(6, 16)', '(4, 16)']","['(5, 16)', '(25, 15)', '(34, 15)']","['(4, 16)', '(25, 15)', '(34, 15)']","['(21, 16)', '(23, 16)', '(34, 16)', '(12, 16)', '(14, 16)', '(5, 16)', '(27, 16)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(7, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(9, 16)', '(11, 16)', '(33, 16)', '(24, 16)', '(13, 16)', '(26, 16)', '(15, 16)', '(6, 16)', '(28, 16)', '(17, 16)', '(30, 16)', '(19, 16)', '(8, 16)', '(10, 16)', '(32, 16)']",17179869152,0,17179869152
