iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
15,"(27, 16)","(28, 16)",West,"['(28, 16)', '(26, 16)']","['(30, 12)', '(30, 14)', '(27, 16)']","['(26, 16)', '(28, 16)', '(30, 12)', '(30, 14)']","['(30, 14)', '(31, 14)', '(33, 16)', '(32, 14)', '(28, 16)', '(34, 16)', '(29, 16)', '(30, 13)', '(30, 16)', '(31, 16)', '(32, 16)', '(27, 16)', '(34, 15)', '(33, 14)', '(34, 14)']",7,0,7
16,"(30, 12)","(30, 13)",South,"['(30, 13)', '(31, 12)']","['(26, 16)', '(28, 16)', '(30, 12)']","['(31, 12)', '(30, 13)', '(26, 16)', '(28, 16)']","['(30, 14)', '(31, 14)', '(33, 16)', '(32, 14)', '(28, 16)', '(34, 16)', '(29, 16)', '(30, 13)', '(30, 16)', '(31, 16)', '(32, 16)', '(27, 16)', '(30, 12)', '(34, 15)', '(33, 14)', '(34, 14)']",8,0,8
17,"(26, 16)","(27, 16)",West,"['(27, 16)', '(25, 16)']","['(31, 12)', '(30, 13)', '(26, 16)']","['(25, 16)', '(27, 16)', '(31, 12)', '(30, 13)']","['(30, 14)', '(31, 14)', '(33, 16)', '(32, 14)', '(28, 16)', '(34, 16)', '(29, 16)', '(30, 13)', '(30, 16)', '(31, 16)', '(26, 16)', '(32, 16)', '(27, 16)', '(30, 12)', '(34, 15)', '(33, 14)', '(34, 14)']",8,0,8
18,"(31, 12)","(30, 12)",East,"['(32, 12)', '(30, 12)']","['(25, 16)', '(27, 16)', '(31, 12)']","['(30, 12)', '(32, 12)', '(25, 16)', '(27, 16)']","['(30, 14)', '(31, 14)', '(33, 16)', '(32, 14)', '(28, 16)', '(34, 16)', '(29, 16)', '(30, 13)', '(30, 16)', '(31, 16)', '(26, 16)', '(32, 16)', '(27, 16)', '(30, 12)', '(34, 15)', '(31, 12)', '(33, 14)', '(34, 14)']",9,0,9
19,"(25, 16)","(26, 16)",West,"['(25, 15)', '(26, 16)', '(24, 16)']","['(30, 12)', '(32, 12)', '(25, 16)']","['(24, 16)', '(26, 16)', '(25, 15)', '(30, 12)', '(32, 12)']","['(31, 14)', '(34, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(25, 16)', '(29, 16)', '(31, 16)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(26, 16)', '(31, 12)', '(34, 14)', '(28, 16)', '(30, 13)', '(30, 16)', '(32, 16)']",9,0,9
20,"(32, 12)","(31, 12)",East,"['(33, 12)', '(31, 12)']","['(24, 16)', '(26, 16)', '(25, 15)', '(30, 12)', '(32, 12)']","['(31, 12)', '(33, 12)', '(24, 16)', '(26, 16)', '(25, 15)', '(30, 12)']","['(31, 14)', '(34, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(32, 12)', '(25, 16)', '(29, 16)', '(31, 16)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(26, 16)', '(31, 12)', '(34, 14)', '(28, 16)', '(30, 13)', '(30, 16)', '(32, 16)']",10,0,10
21,"(25, 15)","(25, 16)",South,"['(25, 16)', '(25, 14)']","['(31, 12)', '(33, 12)', '(24, 16)', '(26, 16)', '(25, 15)']","['(25, 14)', '(25, 16)', '(31, 12)', '(33, 12)', '(24, 16)', '(26, 16)']","['(31, 14)', '(34, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(32, 12)', '(25, 16)', '(29, 16)', '(31, 16)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(25, 15)', '(26, 16)', '(31, 12)', '(34, 14)', '(28, 16)', '(30, 13)', '(30, 16)', '(32, 16)']",10,0,10
22,"(24, 16)","(25, 16)",West,"['(25, 16)', '(23, 16)']","['(25, 14)', '(25, 16)', '(31, 12)', '(33, 12)', '(24, 16)']","['(23, 16)', '(25, 16)', '(25, 14)', '(25, 16)', '(31, 12)', '(33, 12)']","['(31, 14)', '(34, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(32, 12)', '(25, 16)', '(29, 16)', '(31, 16)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(31, 12)', '(34, 14)', '(28, 16)', '(30, 13)', '(30, 16)', '(32, 16)']",10,0,10
23,"(33, 12)","(32, 12)",East,"['(34, 12)', '(32, 12)']","['(23, 16)', '(25, 16)', '(25, 14)', '(25, 16)', '(31, 12)', '(33, 12)']","['(32, 12)', '(34, 12)', '(23, 16)', '(25, 16)', '(25, 14)', '(25, 16)', '(31, 12)']","['(31, 14)', '(34, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(32, 12)', '(25, 16)', '(29, 16)', '(31, 16)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(31, 12)', '(34, 14)', '(28, 16)', '(30, 13)', '(30, 16)', '(33, 12)', '(32, 16)']",11,0,11
24,"(25, 14)","(25, 15)",South,"['(25, 15)', '(26, 14)']","['(32, 12)', '(34, 12)', '(23, 16)', '(25, 16)', '(25, 14)']","['(26, 14)', '(25, 15)', '(32, 12)', '(34, 12)', '(23, 16)', '(25, 16)']","['(31, 14)', '(34, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(32, 12)', '(25, 16)', '(29, 16)', '(31, 16)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(31, 12)', '(34, 14)', '(28, 16)', '(30, 13)', '(30, 16)', '(33, 12)', '(32, 16)', '(25, 14)']",11,0,11
25,"(23, 16)","(24, 16)",West,"['(24, 16)', '(22, 16)']","['(26, 14)', '(25, 15)', '(32, 12)', '(34, 12)', '(23, 16)']","['(22, 16)', '(24, 16)', '(26, 14)', '(25, 15)', '(32, 12)', '(34, 12)']","['(31, 14)', '(23, 16)', '(34, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(32, 12)', '(25, 16)', '(29, 16)', '(31, 16)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(31, 12)', '(34, 14)', '(28, 16)', '(30, 13)', '(30, 16)', '(33, 12)', '(32, 16)', '(25, 14)']",11,0,11
26,"(34, 12)","(33, 12)",East,"['(34, 11)', '(33, 12)']","['(22, 16)', '(24, 16)', '(26, 14)', '(25, 15)', '(32, 12)', '(34, 12)']","['(33, 12)', '(34, 11)', '(22, 16)', '(24, 16)', '(26, 14)', '(25, 15)', '(32, 12)']","['(31, 14)', '(23, 16)', '(34, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(32, 12)', '(25, 16)', '(29, 16)', '(31, 16)', '(34, 12)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(31, 12)', '(34, 14)', '(28, 16)', '(30, 13)', '(30, 16)', '(33, 12)', '(32, 16)', '(25, 14)']",12,0,12
27,"(26, 14)","(25, 14)",East,"['(27, 14)', '(25, 14)']","['(33, 12)', '(34, 11)', '(22, 16)', '(24, 16)', '(26, 14)']","['(25, 14)', '(27, 14)', '(33, 12)', '(34, 11)', '(22, 16)', '(24, 16)']","['(31, 14)', '(23, 16)', '(34, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(32, 12)', '(25, 16)', '(26, 14)', '(29, 16)', '(31, 16)', '(34, 12)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(31, 12)', '(34, 14)', '(28, 16)', '(30, 13)', '(30, 16)', '(33, 12)', '(32, 16)', '(25, 14)']",12,0,12
28,"(22, 16)","(23, 16)",West,"['(23, 16)', '(21, 16)']","['(25, 14)', '(27, 14)', '(33, 12)', '(34, 11)', '(22, 16)']","['(21, 16)', '(23, 16)', '(25, 14)', '(27, 14)', '(33, 12)', '(34, 11)']","['(31, 14)', '(23, 16)', '(34, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(32, 12)', '(25, 16)', '(26, 14)', '(29, 16)', '(31, 16)', '(34, 12)', '(22, 16)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(31, 12)', '(34, 14)', '(28, 16)', '(30, 13)', '(30, 16)', '(33, 12)', '(32, 16)', '(25, 14)']",12,0,12
29,"(34, 11)","(34, 12)",South,"['(34, 12)', '(34, 10)']","['(21, 16)', '(23, 16)', '(25, 14)', '(27, 14)', '(33, 12)', '(34, 11)']","['(34, 10)', '(34, 12)', '(21, 16)', '(23, 16)', '(25, 14)', '(27, 14)', '(33, 12)']","['(31, 14)', '(23, 16)', '(34, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(32, 12)', '(25, 16)', '(26, 14)', '(29, 16)', '(31, 16)', '(34, 12)', '(22, 16)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(31, 12)', '(34, 11)', '(34, 14)', '(28, 16)', '(30, 13)', '(30, 16)', '(33, 12)', '(32, 16)', '(25, 14)']",13,0,13
