iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
11,"((6, 4), ())","((6, 5), ())",South,"['((6, 5), ())', '((6, 3), ())']","['((1, 6), ((1, 6),))', '((3, 6), ())', '((2, 5), ())', '((5, 6), ((6, 6),))', '((6, 5), ((6, 6),))', '((1, 5), ())', '((3, 5), ())', '((2, 6), ())', '((5, 5), ())', '((6, 4), ())']","['((6, 3), ())', '((6, 5), ())', '((1, 6), ((1, 6),))', '((3, 6), ())', '((2, 5), ())', '((5, 6), ((6, 6),))', '((6, 5), ((6, 6),))', '((1, 5), ())', '((3, 5), ())', '((2, 6), ())', '((5, 5), ())']","['((5, 6), ())', '((6, 6), ((6, 6),))', '((2, 6), ())', '((4, 5), ())', '((3, 6), ())', '((2, 5), ())', '((3, 5), ())', '((6, 5), ())', '((6, 4), ())', '((4, 6), ())', '((5, 5), ())']",3,0,3
12,"((1, 5), ())","((2, 5), ())",West,"['((1, 6), ((1, 6),))', '((1, 4), ())', '((2, 5), ())']","['((6, 3), ())', '((6, 5), ())', '((1, 6), ((1, 6),))', '((3, 6), ())', '((2, 5), ())', '((5, 6), ((6, 6),))', '((6, 5), ((6, 6),))', '((1, 5), ())']","['((2, 5), ())', '((1, 4), ())', '((1, 6), ((1, 6),))', '((6, 3), ())', '((6, 5), ())', '((1, 6), ((1, 6),))', '((3, 6), ())', '((2, 5), ())', '((5, 6), ((6, 6),))', '((6, 5), ((6, 6),))']","['((5, 6), ())', '((6, 6), ((6, 6),))', '((2, 6), ())', '((4, 5), ())', '((3, 6), ())', '((2, 5), ())', '((3, 5), ())', '((6, 5), ())', '((6, 4), ())', '((1, 5), ())', '((4, 6), ())', '((5, 5), ())']",3,0,3
13,"((6, 5), ((6, 6),))","((6, 6), ((6, 6),))",South,"['((6, 6), ((6, 6),))', '((6, 4), ((6, 6),))', '((5, 5), ((6, 6),))']","['((2, 5), ())', '((1, 4), ())', '((1, 6), ((1, 6),))', '((6, 3), ())', '((6, 5), ())', '((1, 6), ((1, 6),))', '((3, 6), ())', '((2, 5), ())', '((5, 6), ((6, 6),))', '((6, 5), ((6, 6),))']","['((5, 5), ((6, 6),))', '((6, 4), ((6, 6),))', '((6, 6), ((6, 6),))', '((2, 5), ())', '((1, 4), ())', '((1, 6), ((1, 6),))', '((6, 3), ())', '((6, 5), ())', '((1, 6), ((1, 6),))', '((3, 6), ())', '((2, 5), ())', '((5, 6), ((6, 6),))']","['((5, 6), ())', '((6, 6), ((6, 6),))', '((2, 6), ())', '((4, 5), ())', '((3, 6), ())', '((2, 5), ())', '((3, 5), ())', '((6, 5), ())', '((6, 4), ())', '((1, 5), ())', '((4, 6), ())', '((5, 5), ())', '((6, 5), ((6, 6),))']",4,0,4
14,"((5, 6), ((6, 6),))","((6, 6), ((6, 6),))",West,"['((5, 5), ((6, 6),))', '((6, 6), ((6, 6),))', '((4, 6), ((6, 6),))']","['((5, 5), ((6, 6),))', '((6, 4), ((6, 6),))', '((6, 6), ((6, 6),))', '((2, 5), ())', '((1, 4), ())', '((1, 6), ((1, 6),))', '((6, 3), ())', '((6, 5), ())', '((1, 6), ((1, 6),))', '((3, 6), ())', '((2, 5), ())', '((5, 6), ((6, 6),))']","['((4, 6), ((6, 6),))', '((6, 6), ((6, 6),))', '((5, 5), ((6, 6),))', '((5, 5), ((6, 6),))', '((6, 4), ((6, 6),))', '((6, 6), ((6, 6),))', '((2, 5), ())', '((1, 4), ())', '((1, 6), ((1, 6),))', '((6, 3), ())', '((6, 5), ())', '((1, 6), ((1, 6),))', '((3, 6), ())', '((2, 5), ())']","['((5, 6), ())', '((6, 6), ((6, 6),))', '((2, 6), ())', '((4, 5), ())', '((3, 6), ())', '((2, 5), ())', '((3, 5), ())', '((6, 5), ())', '((6, 4), ())', '((1, 5), ())', '((5, 6), ((6, 6),))', '((4, 6), ())', '((5, 5), ())', '((6, 5), ((6, 6),))']",4,0,4
15,"((1, 6), ((1, 6),))","((1, 5), ())",North,"['((1, 5), ((1, 6),))', '((2, 6), ((1, 6),))']","['((4, 6), ((6, 6),))', '((6, 6), ((6, 6),))', '((5, 5), ((6, 6),))', '((5, 5), ((6, 6),))', '((6, 4), ((6, 6),))', '((6, 6), ((6, 6),))', '((2, 5), ())', '((1, 4), ())', '((1, 6), ((1, 6),))', '((6, 3), ())', '((6, 5), ())', '((1, 6), ((1, 6),))']","['((2, 6), ((1, 6),))', '((1, 5), ((1, 6),))', '((4, 6), ((6, 6),))', '((6, 6), ((6, 6),))', '((5, 5), ((6, 6),))', '((5, 5), ((6, 6),))', '((6, 4), ((6, 6),))', '((6, 6), ((6, 6),))', '((2, 5), ())', '((1, 4), ())', '((1, 6), ((1, 6),))', '((6, 3), ())', '((6, 5), ())']","['((5, 6), ())', '((6, 6), ((6, 6),))', '((2, 6), ())', '((4, 5), ())', '((3, 6), ())', '((2, 5), ())', '((3, 5), ())', '((6, 5), ())', '((6, 4), ())', '((1, 5), ())', '((5, 6), ((6, 6),))', '((4, 6), ())', '((5, 5), ())', '((1, 6), ((1, 6),))', '((6, 5), ((6, 6),))']",4,0,4
16,"((6, 3), ())","((6, 4), ())",South,"['((6, 4), ())', '((5, 3), ())']","['((2, 6), ((1, 6),))', '((1, 5), ((1, 6),))', '((4, 6), ((6, 6),))', '((6, 6), ((6, 6),))', '((5, 5), ((6, 6),))', '((5, 5), ((6, 6),))', '((6, 4), ((6, 6),))', '((6, 6), ((6, 6),))', '((2, 5), ())', '((1, 4), ())', '((1, 6), ((1, 6),))', '((6, 3), ())']","['((5, 3), ())', '((6, 4), ())', '((2, 6), ((1, 6),))', '((1, 5), ((1, 6),))', '((4, 6), ((6, 6),))', '((6, 6), ((6, 6),))', '((5, 5), ((6, 6),))', '((5, 5), ((6, 6),))', '((6, 4), ((6, 6),))', '((6, 6), ((6, 6),))', '((2, 5), ())', '((1, 4), ())', '((1, 6), ((1, 6),))']","['((5, 6), ())', '((6, 6), ((6, 6),))', '((2, 6), ())', '((4, 5), ())', '((3, 6), ())', '((2, 5), ())', '((3, 5), ())', '((6, 5), ())', '((6, 4), ())', '((1, 5), ())', '((5, 6), ((6, 6),))', '((6, 3), ())', '((4, 6), ())', '((5, 5), ())', '((1, 6), ((1, 6),))', '((6, 5), ((6, 6),))']",4,0,4
17,"((1, 4), ())","((1, 5), ())",South,"['((1, 5), ())', '((1, 3), ())']","['((5, 3), ())', '((6, 4), ())', '((2, 6), ((1, 6),))', '((1, 5), ((1, 6),))', '((4, 6), ((6, 6),))', '((6, 6), ((6, 6),))', '((5, 5), ((6, 6),))', '((5, 5), ((6, 6),))', '((6, 4), ((6, 6),))', '((6, 6), ((6, 6),))', '((2, 5), ())', '((1, 4), ())']","['((1, 3), ())', '((1, 5), ())', '((5, 3), ())', '((6, 4), ())', '((2, 6), ((1, 6),))', '((1, 5), ((1, 6),))', '((4, 6), ((6, 6),))', '((6, 6), ((6, 6),))', '((5, 5), ((6, 6),))', '((5, 5), ((6, 6),))', '((6, 4), ((6, 6),))', '((6, 6), ((6, 6),))', '((2, 5), ())']","['((5, 6), ())', '((6, 6), ((6, 6),))', '((2, 6), ())', '((4, 5), ())', '((3, 6), ())', '((2, 5), ())', '((3, 5), ())', '((6, 5), ())', '((6, 4), ())', '((1, 5), ())', '((5, 6), ((6, 6),))', '((6, 3), ())', '((4, 6), ())', '((5, 5), ())', '((1, 4), ())', '((1, 6), ((1, 6),))', '((6, 5), ((6, 6),))']",4,0,4
18,"((6, 4), ((6, 6),))","((6, 5), ((6, 6),))",South,"['((6, 5), ((6, 6),))', '((6, 3), ((6, 6),))']","['((1, 3), ())', '((1, 5), ())', '((5, 3), ())', '((6, 4), ())', '((2, 6), ((1, 6),))', '((1, 5), ((1, 6),))', '((4, 6), ((6, 6),))', '((6, 6), ((6, 6),))', '((5, 5), ((6, 6),))', '((5, 5), ((6, 6),))', '((6, 4), ((6, 6),))']","['((6, 3), ((6, 6),))', '((6, 5), ((6, 6),))', '((1, 3), ())', '((1, 5), ())', '((5, 3), ())', '((6, 4), ())', '((2, 6), ((1, 6),))', '((1, 5), ((1, 6),))', '((4, 6), ((6, 6),))', '((6, 6), ((6, 6),))', '((5, 5), ((6, 6),))', '((5, 5), ((6, 6),))']","['((5, 6), ())', '((6, 6), ((6, 6),))', '((2, 6), ())', '((4, 5), ())', '((3, 6), ())', '((2, 5), ())', '((3, 5), ())', '((6, 5), ())', '((6, 4), ())', '((1, 5), ())', '((5, 6), ((6, 6),))', '((6, 3), ())', '((4, 6), ())', '((5, 5), ())', '((1, 4), ())', '((1, 6), ((1, 6),))', '((6, 5), ((6, 6),))', '((6, 4), ((6, 6),))']",5,0,5
19,"((5, 5), ((6, 6),))","((5, 6), ((6, 6),))",South,"['((5, 6), ((6, 6),))', '((6, 5), ((6, 6),))', '((4, 5), ((6, 6),))']","['((6, 3), ((6, 6),))', '((6, 5), ((6, 6),))', '((1, 3), ())', '((1, 5), ())', '((5, 3), ())', '((6, 4), ())', '((2, 6), ((1, 6),))', '((1, 5), ((1, 6),))', '((4, 6), ((6, 6),))', '((6, 6), ((6, 6),))', '((5, 5), ((6, 6),))', '((5, 5), ((6, 6),))']","['((4, 5), ((6, 6),))', '((6, 5), ((6, 6),))', '((5, 6), ((6, 6),))', '((6, 3), ((6, 6),))', '((6, 5), ((6, 6),))', '((1, 3), ())', '((1, 5), ())', '((5, 3), ())', '((6, 4), ())', '((2, 6), ((1, 6),))', '((1, 5), ((1, 6),))', '((4, 6), ((6, 6),))', '((6, 6), ((6, 6),))', '((5, 5), ((6, 6),))']","['((2, 5), ())', '((6, 4), ())', '((1, 4), ())', '((6, 3), ())', '((4, 6), ())', '((5, 5), ((6, 6),))', '((6, 5), ())', '((1, 5), ())', '((5, 6), ((6, 6),))', '((6, 6), ((6, 6),))', '((4, 5), ())', '((5, 5), ())', '((1, 6), ((1, 6),))', '((6, 4), ((6, 6),))', '((5, 6), ())', '((2, 6), ())', '((3, 6), ())', '((3, 5), ())', '((6, 5), ((6, 6),))']",5,0,5
20,"((4, 6), ((6, 6),))","((5, 6), ((6, 6),))",West,"['((4, 5), ((6, 6),))', '((5, 6), ((6, 6),))', '((3, 6), ((6, 6),))']","['((4, 5), ((6, 6),))', '((6, 5), ((6, 6),))', '((5, 6), ((6, 6),))', '((6, 3), ((6, 6),))', '((6, 5), ((6, 6),))', '((1, 3), ())', '((1, 5), ())', '((5, 3), ())', '((6, 4), ())', '((2, 6), ((1, 6),))', '((1, 5), ((1, 6),))', '((4, 6), ((6, 6),))']","['((3, 6), ((6, 6),))', '((5, 6), ((6, 6),))', '((4, 5), ((6, 6),))', '((4, 5), ((6, 6),))', '((6, 5), ((6, 6),))', '((5, 6), ((6, 6),))', '((6, 3), ((6, 6),))', '((6, 5), ((6, 6),))', '((1, 3), ())', '((1, 5), ())', '((5, 3), ())', '((6, 4), ())', '((2, 6), ((1, 6),))', '((1, 5), ((1, 6),))']","['((2, 5), ())', '((6, 4), ())', '((1, 4), ())', '((6, 3), ())', '((4, 6), ())', '((5, 5), ((6, 6),))', '((6, 5), ())', '((1, 5), ())', '((5, 6), ((6, 6),))', '((6, 6), ((6, 6),))', '((4, 5), ())', '((5, 5), ())', '((1, 6), ((1, 6),))', '((6, 4), ((6, 6),))', '((4, 6), ((6, 6),))', '((5, 6), ())', '((2, 6), ())', '((3, 6), ())', '((3, 5), ())', '((6, 5), ((6, 6),))']",5,0,5
